ID,x
AS_F_1,0.02470413
AS_F_1,0.03528773
AS_F_1,0.02263405
AS_F_1,0.03174319
AS_F_1,0.04218099
AS_F_1,0.02530835
AS_F_1,0.03774107
AS_F_1,0.09274385
AS_F_1,0.06171549
AS_F_1,0.09177639
AS_F_1,0.07810183
AS_F_1,0.05377369
AS_F_1,0.07611936
AS_F_1,0.01093566
AS_F_1,0.02981508
AS_F_1,0.006813442
AS_F_1,-0.06176908
AS_F_1,-0.07198054
AS_F_1,-0.1325387
AS_F_1,-0.118274
AS_F_1,-0.1360236
AS_F_1,-0.1303318
AS_F_1,-0.1516439
AS_F_1,-0.1211703
AS_F_1,-0.0628384
AS_F_1,-0.01108871
AS_F_1,-0.02328677
AS_F_1,0.01216501
AS_F_1,0.03812212
AS_F_1,0.04267211
AS_F_1,0.04497772
AS_F_1,0.02778821
AS_F_1,0.03258043
AS_F_1,0.01560495
AS_F_1,0.009775326
AS_F_1,0.02838917
AS_F_1,0.01622681
AS_F_1,-0.01705613
AS_F_1,-0.004434877
AS_F_1,-0.007127769
AS_F_1,-0.02175711
AS_F_1,0.01824595
AS_F_1,0.001892781
AS_F_1,-0.04128149
AS_F_1,-0.02729925
AS_F_1,0.01931855
AS_F_1,-0.05324696
AS_F_1,-0.01479614
AS_F_1,0.0285027
AS_F_1,-0.03619986
AS_F_1,-0.01985786
AS_F_1,0.01698149
AS_F_1,0.01320824
AS_F_1,0.02029218
AS_F_1,-0.0232213
AS_F_1,0.01526329
AS_F_1,0.03849433
AS_F_1,-0.007440036
AS_F_1,0.01349322
AS_F_1,-0.0007764322
AS_F_1,0.04985326
AS_F_1,-0.02045483
AS_F_1,0.01666569
AS_F_1,0.001743499
AS_F_1,0.00843084
AS_F_1,0.01696972
AS_F_1,0.03474486
AS_F_1,0.09168335
AS_F_1,0.0008913856
AS_F_1,0.05493852
AS_F_1,0.06606856
AS_F_1,0.005616683
AS_F_1,0.01232256
AS_F_1,-0.005531943
AS_F_1,-0.01896808
AS_F_1,-0.008517379
AS_F_1,0.03189167
AS_F_1,0.006403442
AS_F_1,-0.02278719
AS_F_1,-0.02938992
AS_F_1,-0.01492024
AS_F_1,-0.05476897
AS_F_1,-0.04738999
AS_F_1,-0.02158117
AS_F_1,-0.07152151
AS_F_1,-0.02120517
AS_F_1,-0.008750568
AS_F_1,-0.05002863
AS_F_1,-0.06770997
AS_F_1,-0.001675877
AS_F_1,-0.02767353
AS_F_1,-0.03438455
AS_F_1,-0.0027523
