"ID","z"
"AS_M_1",0.01999609
"AS_M_1",0.02285095
"AS_M_1",0.02794416
"AS_M_1",-0.01659284
"AS_M_1",-0.008646918
"AS_M_1",-0.001504294
"AS_M_1",-0.0009601029
"AS_M_1",-0.01119342
"AS_M_1",-0.001598619
"AS_M_1",0.01767929
"AS_M_1",-0.009538153
"AS_M_1",0.04466444
"AS_M_1",0.02352352
"AS_M_1",0.0161998
"AS_M_1",0.1173907
"AS_M_1",0.05040464
"AS_M_1",0.128676
"AS_M_1",0.09731364
"AS_M_1",0.09034902
"AS_M_1",0.03676698
"AS_M_1",0.1475332
"AS_M_1",0.07198241
"AS_M_1",0.06728063
"AS_M_1",0.1395882
"AS_M_1",0.07378509
"AS_M_1",-0.03739471
"AS_M_1",-0.1208818
"AS_M_1",-0.1026079
"AS_M_1",-0.1351811
"AS_M_1",-0.1173405
"AS_M_1",-0.3136118
"AS_M_1",-0.231702
"AS_M_1",-0.1926129
"AS_M_1",-0.1071577
"AS_M_1",-0.001575008
"AS_M_1",0.0348483
"AS_M_1",0.1593007
"AS_M_1",0.163017
"AS_M_1",0.1310902
"AS_M_1",0.01685277
"AS_M_1",0.02656172
"AS_M_1",-0.02820341
"AS_M_1",-0.01218248
"AS_M_1",-0.03431954
"AS_M_1",-0.007474159
"AS_M_1",-0.03119151
"AS_M_1",-0.01041849
"AS_M_1",-0.02414036
"AS_M_1",-0.04585972
"AS_M_1",0.01572464
"AS_M_1",-0.005365178
"AS_M_1",-0.05330858
"AS_M_1",-0.03233244
"AS_M_1",0.01371843
"AS_M_1",0.05746248
"AS_M_1",0.0539529
"AS_M_1",-0.002138431
"AS_M_1",0.01464901
"AS_M_1",-0.02394229
"AS_M_1",-0.04057192
"AS_M_1",-0.1061351
"AS_M_1",-0.09675802
"AS_M_1",0.01028484
"AS_M_1",-0.01920629
"AS_M_1",-0.0115367
"AS_M_1",0.01599044
"AS_M_1",0.03222227
"AS_M_1",0.02180973
"AS_M_1",0.009549875
"AS_M_1",0.006868098
"AS_M_1",-0.003005055
"AS_M_1",0.02581171
"AS_M_1",0.01100533
"AS_M_1",0.03058838
"AS_M_1",0.05881518
"AS_M_1",0.03337137
"AS_M_1",0.02273363
"AS_M_1",0.04009123
"AS_M_1",0.05289442
"AS_M_1",0.04569224
"AS_M_1",-0.05781351
"AS_M_1",-0.03259985
"AS_M_1",-0.08745137
"AS_M_1",-0.08698192
"AS_M_1",-0.02385108
"AS_M_1",-0.05173041
"AS_M_1",-0.05169036
"AS_M_1",0.003068584
"AS_M_1",-0.01931413
"AS_M_1",0.06980234
"AS_M_1",0.07994443
"AS_M_1",0.03663063
"AS_M_1",0.02142943
"AS_M_1",0.00785544
"AS_M_1",-0.04144672
"AS_M_1",0.008183379
"AS_M_1",-0.0234255
"AS_M_1",0.004197021
"AS_M_1",-0.02244522
"AS_M_1",-0.01361497
"AS_M_1",-0.01622327
"AS_M_1",-0.03347138
"AS_M_1",0.01835102
"AS_M_1",-0.01056104
"AS_M_1",0.07093442
"AS_M_1",0.1792345
"AS_M_1",0.191672
"AS_M_1",0.19384
"AS_M_1",-0.06618818
"AS_M_1",0.03275868
"AS_M_1",-0.06599458
"AS_M_1",-0.03060989
"AS_M_1",0.08495905
"AS_M_1",-0.02958367
"AS_M_1",0.03178974
"AS_M_1",-0.07954225
"AS_M_1",-0.03680151
"AS_M_1",-0.06928148
"AS_M_1",-0.1124074
"AS_M_1",-0.09921668
"AS_M_1",-0.07876707
"AS_M_1",-0.07694095
"AS_M_1",-0.02897019
"AS_M_1",-0.03476709
"AS_M_1",-0.06773809
"AS_M_1",0.04965893
"AS_M_1",0.1576857
"AS_M_1",0.1014774
"AS_M_1",-0.02934287
"AS_M_1",-0.0640018
"AS_M_1",0.02086517
"AS_M_1",-0.1196858
"AS_M_1",0.01624803
"AS_M_1",-0.05877484
"AS_M_1",-0.01431324
"AS_M_1",-0.001077745
"AS_M_1",-0.07479663
"AS_M_1",-0.03721256
"AS_M_1",-0.05185346
"AS_M_1",-0.09653292
"AS_M_1",-0.08700469
"AS_M_1",-0.09992402
"AS_M_1",0.003155176
"AS_M_1",-0.04155378
"AS_M_1",-0.02719943
"AS_M_1",-0.02442039
"AS_M_1",0.02125905
"AS_M_1",-0.01404254
"AS_M_1",0.01358046
"AS_M_1",-0.05608284
"AS_M_1",-0.02835284
"AS_M_1",0.0214144
"AS_M_1",-0.1209838
"AS_M_1",-0.01003248
"AS_M_1",0.02152851
"AS_M_1",-0.02007622
"AS_M_1",0.02526524
"AS_M_1",0.03306772
"AS_M_1",-0.001348813
"AS_M_1",0.09256456
"AS_M_1",0.05533885
"AS_M_1",0.04879628
"AS_M_1",0.1523843
"AS_M_1",0.1054392
"AS_M_1",-0.04533007
"AS_M_1",-0.02556528
"AS_M_1",-0.0504623
"AS_M_1",-0.0948204
"AS_M_1",0.03984167
"AS_M_1",0.05704401
"AS_M_1",0.1627361
"AS_M_1",-0.0240181
"AS_M_1",-0.02892265
"AS_M_1",-0.07262012
"AS_M_1",-0.0634727
"AS_M_1",-0.1675255
"AS_M_1",0.1267836
"AS_M_1",0.1178414
"AS_M_1",-0.09423015
"AS_M_1",-0.004328569
"AS_M_1",-0.1459018
"AS_M_1",-0.1961504
"AS_M_1",-0.08926795
"AS_M_1",-0.0180508
"AS_M_1",-0.03026805
"AS_M_1",0.05957536
"AS_M_1",0.1198846
"AS_M_1",0.09396565
"AS_M_1",0.1304478
"AS_M_1",0.1272601
"AS_M_1",0.1615651
"AS_M_1",0.1247095
"AS_M_1",0.07537074
"AS_M_1",0.07891798
"AS_M_1",-0.007388728
"AS_M_1",0.01357176
"AS_M_1",0.07309522
"AS_M_1",0.02198528
"AS_M_1",0.03356825
"AS_M_1",0.02430313
"AS_M_1",0.02634935
"AS_M_1",0.01682778
"AS_M_1",0.02510738
"AS_M_1",-0.05663286
"AS_M_1",-0.02964559
"AS_M_1",-0.06625941
"AS_M_1",-0.0126868
"AS_M_1",-0.03272952
"AS_M_1",-0.01486372
"AS_M_1",-0.0001881709
"AS_M_1",-0.02862165
"AS_M_1",-0.03066043
"AS_M_1",-0.06070552
"AS_M_1",-0.03806251
"AS_M_1",-0.0536469
"AS_M_1",-0.03840148
"AS_M_1",-0.05854925
